comment_text,toxic,flores_200_lang
"""

I KNOW THAT RYAN'S VERSION OF """"Heigh-Ho"""" CAME OUT 3/16/90, BUT THE REAL RELEASE DATE IS THIS ONE BECAUSE """"Cheetah"""" CAME OUT THAT DAY! NOW, F*** OFF AND QUIT UNDOING ME!  """,1,eng_Latn
"""
lipstick on Pigs...
Your guy, """"The Prophet"""" is not too smart, so he loses.
BTW thanks for spreading the word on your miserable blog
the fact Berry O is not for change, but SOS... Same odle
Shit...WTG bud, just like a WW1 Trench war... The more you and 
your LEFT WING RADICALS spread poison gas on the
Republicans you hate, the green cloud, pours in 
to your trench HERE... It's a HOOT and you and your kind
can't help them self...76.217.97.83  """,1,eng_Latn
"Im so pissed off with betacommand, its just not funny. Content vs janitors? When we are disrespted with templates like this, I feel, angry, hurt, used. Tindersticks time, I guess.",1,eng_Latn
"Be nice and don't be a dick, or I will kick your ass.",1,eng_Latn
"""

 Son, I am disappoint. 

You could be studying to get a Ph.D. in biochemistry or a doctorate in medicine, but you waste your life deleting crap and blocking sock puppets on Wikipedia while simultaneously fapping to CP. Give me one good reason why I shouldn't whoop your ass to get you back in shape.  """,1,eng_Latn
IM A FUCKING ASSHOLE!!,1,eng_Latn
"User talk:24.63.62.169
I am glad you were able to take time away from fapping to jimbo porn to protect my talk page.  Don't bother responding to this I won't read what you write.  I don't read stuff written by faggots because I don't want to get aids.",1,eng_Latn
"== RH == 

 Pedophiles need to rot in jail. Actions like yours make me think your either are a pedophile, support pedophilia or support child abuse.",1,eng_Latn
"hello moto 

hello flygayguy649 i hope u get a dick stuck up your ass i am a 13 year old kkk member. and i'll kick your ass so stay away and dont delete my pages. BITCH!!!",1,eng_Latn
"Conflict of interest 

You are a person who is doing some sort of harm to this lady Saman Hasnain.. It is apparent that you are making sure that her name is defamed.... Okay no problem... Will get a better source...
you are playing dirty... DOG
Sonisona",1,eng_Latn
George W. Bush sucks.,1,eng_Latn
Ironic that you would tell me to view the Talk rules...I was deleting sections of Talk pages which were being used as forums about the subject rather than discussion about the article.  So STFU.,1,eng_Latn
"At least fix 

At least fix the title for Christ's sake. The Brand Extension title makes no sense when you talk about events after that. And I beg you to watch the product. While the PG/Universe Era was never said onscreen, the Ruthless Aggression Era and Reality Era have and are clearly real. One day you will see a documentary on the Network and I guarantee they will be listed as such. Watch Stone Cold's podcast with Triple H from last Monday, there's at least one confirmation for your ignorant narrow headed mind.",1,eng_Latn
fugly u nerd go rape soemone,1,eng_Latn
Go fuck yourself you sick twisted sack of shite,1,eng_Latn
"Belle's eye color 

Belle's Disney Wiki page. It says that Belle's eyes are hazel and has a screenshot of a close-up of her eyes revealing their color.",0,eng_Latn
"Sorry and Thanks

couldn't get the code to go back correctly should have reverted myself but thought it was another server glitch.
Thank you for cleaning Brian Jones presents the Pipes of Pan at Jajouka",0,eng_Latn
":WP:LEDE is a guideline, rather than a set of rules - but I see your point to some extent. The trouble is that the article is structured in such a way that criticisms such as Bardi's don't really fit in anywhere. He isn't evaluating 'the device', he is evaluating Rossi's claims regarding it. And since everything we know about the device (beyond the obvious, that it is a device which seems to take cold water in at one end, and emit hot water and/or steam at the other) is solely sourced to Rossi, Rossi is now flatly contradicting things he said earlier, and is still refusing to let anyone do any meaningful independent evaluation at all, one has to ask whether we should be implying in our article that it is the device that is now the centre of attention, rather than Rossi. Perhaps the section entitled 'Evaluation of the device' should be retitled 'Evaluation of claims regarding the device' - and expanded. Bardi has actually written about the E-Cat several times, and a little more of his sceptical take on the matter might be as good thing, per WP:FRINGE, and WP:PARITY in particular. If we can show why Bardi describes the affair as 'pathological science' in more detail, we can cover some of the issues that have had to be left out for now, as lacking WP:RS. If we do this, there seems no reason why we can't also quote Bardi in the lede, if appropriate.",0,eng_Latn
"""
First, allow me to quote from the opening sentence of WP:V: """"The threshold for inclusion in Wikipedia is verifiability, not truth — that is, whether readers are able to check that material added to Wikipedia has already been published by a reliable source, not whether we think it is true.""""  (Emphasis mine)  By making such a judgment and using it as criteria to affect the content of the article, you are committing WP:OR.
Second, I seriously doubt that LS considers this to be literally true, as you are trying to imply.  This is evidenced by his qualification of the statement with a """"may be"""".  This is merely a succinct way of making the point that WMC gains a great deal of influence through his activities here at Wikipedia.  That is the main point and thrust of the article, and on that point yes, I truly believe that it is true.  A great many lay people actually do rely on Wikipedia for at least gaining a basic understanding of the topics that they read here.  GW should be no exception in that respect.  And to the extent that Wikiepdia influences these people's opinions and the way in which they vote in the political sphere, which again is what LS is discussing (as opposed to the science), then yes WMCs contributions for his side of the debate as well as his maligning of his opponents in their BLPs (as LS alleges) clearly could have a significant impact.  Your mileage may vary on the assumed impact of Wikipedia in this context.   """,0,eng_Latn
"I agree. I have found too much recent merging and simplification of wikipedia articles, which eliminates useful information. I gave up helping. I came here searching for relevance for fcs errors (when you find them) I know you tend to see them with a duplex mismatch, but forgot which side shows the fcs errors.128.196.164.121",0,eng_Latn
"Wikipedia and it's anti-communist bias 

Funny thing, one can edit tha article related to the mass killings that occurred under anti-communist regimes, but no edits can be done here. Also, it should be noted that the above mentioned article has a neutrality tag, but this one does not (it's quite obvious why it happeens). As a fellow Wikipedian, I demand that the Wikipedia anti-communist administration put such tags here too, since it's heavily biased and counts only with anti-communist references.",0,eng_Latn
"""
I did originally block you, but after reconsidering the situation, I felt the best course of action was to protect the pages from editing for a period of one week. Please discuss with Wikiarabia on the article talk pages.  (Make articles, not wikidrama) """,0,eng_Latn
"I like the idea of using the 12 Community Districts, because those are official districts of the city, and do not have to be named and defined and explained and defended.  I suggest adding a CDs/neighborhood column to the tables and beginning to identify which is the CD for each entry.  When enough are identified, then split out separate list-articles.  Perhaps the CD's having most Landmarks get separate articles, and smaller CDs are left combined into one list-article.  Anyhow i would identify the CDs on this list-article and see how many are in each, before deciding on split to implement.  That would be a lot of work to do, but i don't see the need to rush to split, either.",0,eng_Latn
"are we finished yet
If we were doing this the proper way:
First stepwill take a few days, as it isnt on lineis to read the article mentioned and see what it actually says, because to some of us it seems a very strange assertion
Second stepwill take a good deal longer to see if anyone has specifically contradicted him 
  or criticized him.
And could someone say exactly how both the impressed letters and the stylus touchups could have been reproduced in the relevant period? 
This is really OR; I'm going to at least read the article, since I'm curious. 
Can someone please tell me what a printing press would be if it were not a machine? 
The general article is printing. 
the printing press article talks about printing presses. 
block printing talks about  block printing. 
movable type has to go somewhere, it was voted not to have an art of its own before I got here, so it goes here unless someone has a better place that doesn't contradict the RfD. 
And the phaistos disc article talks about the disc. As evertype says, there are lots of interesting but unlikely theories about it there. 
Would someone please like to write something more where we need it, instead of this. Start here, we need material on the 17th 18th and 19th centuryit doesnt take deep scholarship , just enough to summarize. There are plenty of easily available sources.  
This isnt the page to argue about east asian printing presses.
GPM, I know it isnt required, but some of us have posted some information about ourselves on our user pages.",0,eng_Latn
":No worries, . Middayexpress's attempts at off-Wikipedia canvassing don't appear to have come to anything, and all is calm with that article for now. I'm slowly trying to make progress towards GA status for it.",0,eng_Latn
"Good point, but the reference is still unnecessesary and still a strawman. I will continue to remove it, it has no place in this article. 

[[User:EnglishEfternamn|EnglishEfternamn}}",0,eng_Latn
"""# Oh and Ceranthor, I have no plans to """"go after you"""". I am not mad at you in any way.
""",0,eng_Latn
"Johnny

The part about Jonny looking for hats is incorrect (at least in America). Jonny comes out of nowhere with his face burned and says Rolf's been visited by aliens. Please Revise!",0,eng_Latn
"Originally added to the article, moved here in an edit 

Please join further discussion on arachnoidcyst.org or arachnoidcyst.net to get a blow by blow update from those that suffer long term and to understand our prognosis better. Granted we are all individuals but like cancer, there are many similarties in the manner in which patients suffer and until there is an established protocol we only have each other to depend on.",0,eng_Latn
":Runciman is respected but a little quaint nowadays; he probably thought Humphrey was gay but was too coy to say that directly. I would say it is not really disputed at all one way or the other, in the sense it is not an important question. Everyone seems to agree that he didn't like fighting or disputes of any sort, and that he was very devoted to Isabella, but everyone has different reasons for this, depending on whose side they are on.",0,eng_Latn
doesnt matter all you do is isnsult me when i didnt do a songle thing wrong okay so its all your fault,0,eng_Latn
"I wonder if your intention is to specifically stonewall and filibuster editors until they get tired of discussing issues with you or if that is just your regular attitude. WP is not fun with your editing behaviour which centres on deleting as opposed to contributing. I really do not mind editing with people with opposite opinions and in the past, Nableezy, my record will show, with I think only you and the mysterious Mashkin as an exception, the proper solutions could always be found. You have very few edits showing an improving contribution, and many, many minor copyedits which suit your POV. That's fine, but very unfortunate. Someone with so much energy should be creating new articles and improving existing stubs and others.",0,eng_Latn
""" 

 ==Notes== 
 I'm having a bit of difficulty getting Wikipedia:reliable sources to expand this article. 
 An actress, Jessica Custodio, posted notes about a day of filming on her myspace blog at blog.myspace.com/index.cfm?fuseaction=blog.view&friendID;=85760344&blogID;=254780801 
 but blog.myspace.com is on the Wikimedia spam blacklist, so I can't put it in External links.  
 The producer, Angela Lee, sent me a lot of information in an email, 
 but, well, that's not strictly Wikipedia:verifiable in the sense of being posted somewhere.  
 I'll post it here on the talk page. 

 Presumably more will be written about the film as it gets closer to release. 
    

 ==From Angela Lee== 

 Since Zombie Strippers is a political satire The Writer/Director (Jay Lee who's also my brother) and I always hoped we get released in 2008 during the election year. Jay wrote, directed, shot and is editing this film and a team of visual effects artists are working on shots as soon as Jay's finished a scene in order for us to be ready by October for the big genre festivals and conventions.  

 Here's a little background on the film. Use or ignore any of it as you see fit.  

 It's based on Eugene Ionesco's classic French Existential play Rhinoceros. 

 http://en.wikipedia.org/wiki/Rhinoceros_%28play%29 

 We sold the film on the title alone. Jay's first film went to Sundance in 2002 and after that he was having trouble getting green lit on a second film because his work was considered too """"intellectual"""" so we came up with the stupidest title we could think of. Once we got the green light then Jay was faced with the challenge of writing a script that wouldn't ruin his career as a serious filmmaker. Hence the French Existential twist.  

 I've attached the treatment to the film for your information and below is a director's statement that was given to the publicist at Playboy when they asked him why he cast Jenna in the lead role. 

 Feel free to contact me with any more questions.  

 As for the picture, I took it with a camera that belonged to Penny Drake, the actress. We discussed it and would both prefer to release it with """"no rights reserved"""" since we're much more interested in the publicity it could garner than photo credit. There are more behind the scenes pictures on her site at http://pennydrake.com/ under reel footage. There's a link to view the whole album on the left underneath the picture of her as a zombie. She said any of the pictures in her album can be used. If you'd like a picture of Robert Englund without Penny in it I can get one from one of the other cast or crew members. He was really really nice and easy going and posed for pictures all day long. 

 ===Director's statement about Jenna Jameson=== 

 We live in a time of blatant, brutal and deadly hypocrisy.  Sex scandals run rampant in the conservative political and religious leadership.  Wars are raged, nations bombed, bibles are thumped with roaring hatred and intolerance and yet accusatory fingers are aimed at music and movies.  Reason and fact are being ignored all in the name of a faith that looms ever so ominously over all of our lives. 

 When it comes to the sexual retrograde of this country the facts are still undeniable: since the readily availability of pornography in the home thanks to the internet, sex crimes in this country are down more than 40%.  And yet the hypocrisy of this country rages even louder, lashing out even stronger against the evils of the sex industry all in the name """"decency"""" and """"morality.""""  So what is """"morality""""?  To put millions of women at risk merely to satisfy one's own self-serving sense of decency?  Does being a good American now mean living in denial and ignorance like our current administration? 

 It is possible that this arena holds the key to turning the tides on our moral retrograde.  And it is Jenna Jameson that stands in the forefront of this debate, as crusader, scapegoat, spokesperson, hero and villain all wrapped up in one. 

 We wanted to make a film with a message disguised under the facade of a horror/comedy.  We wanted to throw the hypocrisies of our time in the face of mainstream America.  And to do that we'd need some pretty strong allies.  We'd need a strong political and social voice that was also a star, an icon that could make the film popular enough to attract an audience big enough for our message to be heard loud enough to make a difference.  It was obvious who that person was - Jenna Jameson.  And knowing of her desire to move into the world of horror movies we created a story accordingly and then attempted the impossible. 

 To make a fil",0,eng_Latn
"Nova 

Kindly in invite you to see latest entry on talk page al andaluz toledano",0,eng_Latn
Hello there! Welcome to Wikipedia! We've noticed that you've been making some great additions to the Wikipedia and we really appreciate it. Why not create an account and stay awhile? The Wikipedia can use as many quality members as possible. If you ever need editing help visit Wikipedia:How does one edit a page and experiment at Wikipedia:Sandbox. If you need pointers on how we title pages visit Wikipedia:Naming conventions. If you have any other questions about the project then check out Wikipedia:Help or add a question to the Village pump. Hope to see you around for a long time to come!  20:45 26 Jun 2003 (UTC),0,eng_Latn
"It's coming together nicely. A few bits still outstanding, CL's comments, and I think I might have something about the candlelight that should be mentioned. Give me a little time to get caught up.",0,eng_Latn
Because the articles were related.,0,eng_Latn
"""

 I'm sorry, are you the director, writer or producer of the film? Are you solely in charge of this page? Have you seen this movie? The actors listed on the SIDE> of a film's page are listed according to billing. Any actors in the film can be listed on the film's cast list on the page. (see ANY film's page on Wikipedia) so I don't understand how you think that other actors in the film are not """"notable"""" when they appear in the film in prominent roles. The whole first half of the movie is Young Philomena played by Sophie Kennedy Clark. You don't have have the actor listed who plays her son, when the movie is about...Philomena finding her son. I will be adding the cast back to the list and do not remove them. I only added a few more actors that have prominent screen time, not every actor billed on IMBD.   """,0,eng_Latn
""" 
 :::I think that source is much more informative, with its use of the comparatively well-defined """"messianic"""" and """"reform"""" descriptors, than a source which basically just writes them of as """"heterodox"""" or similar.   """,0,eng_Latn
"== Dudu Aouate == 

 Why did you vandalize/move the Dudu Aouate page? Please move it back as his name has never been spelled the way you wrote it and if it was it was a mistake by the Spanish media.",0,eng_Latn
